TIME,VALUE,LABEL
32.185417175,96.000000000,pedal
32.205207825,122.000000000,pedal
32.223957062,127.000000000,pedal
32.684375763,90.000000000,pedal
32.704166412,72.000000000,pedal
32.724998474,68.000000000,pedal
32.745834351,67.000000000,pedal
32.765625000,66.000000000,pedal
32.845832825,70.000000000,pedal
32.864582062,76.000000000,pedal
32.884376526,86.000000000,pedal
32.905208588,101.000000000,pedal
32.924999237,127.000000000,pedal
33.585414886,108.000000000,pedal
33.604167938,87.000000000,pedal
33.625000000,77.000000000,pedal
33.644790649,73.000000000,pedal
33.665626526,69.000000000,pedal
33.685417175,66.000000000,pedal
33.704166412,62.000000000,pedal
33.724998474,58.000000000,pedal
33.744792938,56.000000000,pedal
33.765625000,54.000000000,pedal
33.784374237,53.000000000,pedal
33.805210114,51.000000000,pedal
33.825000763,49.000000000,pedal
33.845832825,48.000000000,pedal
33.865623474,47.000000000,pedal
33.884376526,46.000000000,pedal
33.966667175,45.000000000,pedal
34.125000000,44.000000000,pedal
34.185417175,43.000000000,pedal
34.244792938,42.000000000,pedal
34.285415649,41.000000000,pedal
34.444789886,45.000000000,pedal
34.464584351,54.000000000,pedal
34.485416412,66.000000000,pedal
34.506248474,80.000000000,pedal
34.523960114,93.000000000,pedal
34.544792175,115.000000000,pedal
34.565624237,127.000000000,pedal
34.984375000,105.000000000,pedal
35.005207062,84.000000000,pedal
35.025001526,74.000000000,pedal
35.045833588,70.000000000,pedal
35.064582825,67.000000000,pedal
35.084373474,65.000000000,pedal
35.105209351,62.000000000,pedal
35.125000000,59.000000000,pedal
35.145832062,58.000000000,pedal
35.224998474,57.000000000,pedal
35.405208588,58.000000000,pedal
35.444789886,60.000000000,pedal
35.523960114,61.000000000,pedal
35.585414886,62.000000000,pedal
35.804164886,63.000000000,pedal
35.825000763,62.000000000,pedal
35.904167175,63.000000000,pedal
35.945835114,67.000000000,pedal
35.965625763,74.000000000,pedal
35.984375000,85.000000000,pedal
36.004165649,99.000000000,pedal
36.025001526,127.000000000,pedal
36.444789886,110.000000000,pedal
36.464584351,100.000000000,pedal
36.485416412,94.000000000,pedal
36.506248474,91.000000000,pedal
36.523960114,87.000000000,pedal
36.544792175,84.000000000,pedal
36.565624237,82.000000000,pedal
36.585414886,80.000000000,pedal
36.606250763,79.000000000,pedal
36.625000000,78.000000000,pedal
36.665626526,77.000000000,pedal
36.685417175,76.000000000,pedal
36.704166412,75.000000000,pedal
36.984375000,76.000000000,pedal
37.125000000,75.000000000,pedal
37.264583588,74.000000000,pedal
37.325000763,73.000000000,pedal
37.385417938,72.000000000,pedal
37.444789886,71.000000000,pedal
37.523960114,70.000000000,pedal
37.644790649,71.000000000,pedal
37.665626526,73.000000000,pedal
37.686458588,77.000000000,pedal
37.704166412,85.000000000,pedal
37.723957062,96.000000000,pedal
37.744792938,125.000000000,pedal
37.765625000,127.000000000,pedal
38.284374237,120.000000000,pedal
38.305210114,96.000000000,pedal
38.326042175,83.000000000,pedal
38.344791412,76.000000000,pedal
38.365623474,73.000000000,pedal
38.386459351,69.000000000,pedal
38.405208588,65.000000000,pedal
38.426040649,63.000000000,pedal
38.444789886,62.000000000,pedal
38.464584351,60.000000000,pedal
38.506248474,59.000000000,pedal
38.545833588,60.000000000,pedal
38.564582825,62.000000000,pedal
38.585414886,68.000000000,pedal
38.605209351,78.000000000,pedal
38.623958588,92.000000000,pedal
38.644790649,113.000000000,pedal
38.664585114,127.000000000,pedal
39.145832062,96.000000000,pedal
39.165626526,83.000000000,pedal
39.184375763,75.000000000,pedal
39.205207825,70.000000000,pedal
39.224998474,66.000000000,pedal
39.245834351,63.000000000,pedal
39.264583588,62.000000000,pedal
39.364582062,64.000000000,pedal
39.385417938,68.000000000,pedal
39.405208588,75.000000000,pedal
39.426040649,88.000000000,pedal
39.444789886,103.000000000,pedal
39.464584351,127.000000000,pedal
39.966667175,107.000000000,pedal
39.984375000,82.000000000,pedal
40.005207062,71.000000000,pedal
40.025001526,67.000000000,pedal
40.045833588,64.000000000,pedal
40.065624237,61.000000000,pedal
40.084373474,58.000000000,pedal
40.104167938,57.000000000,pedal
40.145832062,58.000000000,pedal
40.163539886,63.000000000,pedal
40.184375763,70.000000000,pedal
40.205207825,83.000000000,pedal
40.224998474,101.000000000,pedal
40.245834351,127.000000000,pedal
40.385417938,117.000000000,pedal
40.405208588,89.000000000,pedal
40.424999237,74.000000000,pedal
40.444789886,68.000000000,pedal
40.464584351,64.000000000,pedal
40.485416412,61.000000000,pedal
40.505207062,60.000000000,pedal
40.544792175,63.000000000,pedal
40.564582825,73.000000000,pedal
40.585414886,88.000000000,pedal
40.605209351,111.000000000,pedal
40.623958588,127.000000000,pedal
40.805210114,108.000000000,pedal
40.825000763,92.000000000,pedal
40.844791412,79.000000000,pedal
40.865623474,72.000000000,pedal
40.885417938,68.000000000,pedal
40.904167175,64.000000000,pedal
40.924999237,61.000000000,pedal
40.945835114,58.000000000,pedal
40.965625763,55.000000000,pedal
40.984375000,52.000000000,pedal
41.004165649,50.000000000,pedal
41.025001526,48.000000000,pedal
41.044792175,47.000000000,pedal
41.065624237,46.000000000,pedal
41.084373474,45.000000000,pedal
41.104167938,43.000000000,pedal
41.125000000,42.000000000,pedal
41.145832062,40.000000000,pedal
41.164585114,38.000000000,pedal
41.184375763,36.000000000,pedal
41.204166412,35.000000000,pedal
41.224998474,34.000000000,pedal
41.245834351,33.000000000,pedal
41.284374237,32.000000000,pedal
41.744792938,33.000000000,pedal
41.825000763,34.000000000,pedal
41.844791412,35.000000000,pedal
41.865623474,36.000000000,pedal
41.885417938,37.000000000,pedal
41.924999237,38.000000000,pedal
41.985416412,39.000000000,pedal
42.184375763,38.000000000,pedal
42.245834351,37.000000000,pedal
42.264583588,36.000000000,pedal
42.284374237,35.000000000,pedal
42.305210114,34.000000000,pedal
42.325000763,33.000000000,pedal
42.345832825,32.000000000,pedal
42.364582062,30.000000000,pedal
42.384376526,28.000000000,pedal
42.405208588,27.000000000,pedal
42.424999237,25.000000000,pedal
42.443748474,22.000000000,pedal
42.464584351,19.000000000,pedal
42.484375000,16.000000000,pedal
